,Rank,Bank name,Market cap (US$ billion),MC_EUR_Billion,MC_GBP_Billion,MC_INR_Billion
0,1,JPMorgan Chase,432.92,419.93,346.34,36798.2
1,2,Bank of America,231.52,224.57,185.22,19679.2
2,3,Industrial and Commercial Bank of China,194.56,188.72,155.65,16537.6
3,4,Agricultural Bank of China,160.68,155.86,128.54,13657.8
4,5,HDFC Bank,157.91,153.17,126.33,13422.35
5,6,Wells Fargo,155.87,151.19,124.7,13248.95
6,7,HSBC Holdings PLC,148.9,144.43,119.12,12656.5
7,8,Morgan Stanley,140.83,136.61,112.66,11970.55
8,9,China Construction Bank,139.82,135.63,111.86,11884.7
9,10,Bank of China,136.81,132.71,109.45,11628.85
